inventory_id,date_key,product_key,store_key,stock_level,reorder_point
,20240101,1,1,97,20
,20240101,1,2,45,20
,20240101,1,3,13,20
,20240101,1,4,16,20
,20240101,1,5,82,20
,20240101,1,6,66,20
,20240101,1,7,49,20
,20240101,1,8,53,20
,20240101,1,9,86,20
,20240101,1,10,30,20
,20240101,1,11,81,20
,20240101,1,12,17,20
,20240101,1,13,86,20
,20240101,1,14,34,20
,20240101,1,15,36,20
,20240101,1,16,25,20
,20240101,1,17,60,20
,20240101,1,18,94,20
,20240101,1,19,80,20
,20240101,1,20,33,20
,20240101,1,21,83,20
,20240101,1,22,76,20
,20240101,1,23,18,20
,20240101,1,24,9,20
,20240101,1,25,95,20
,20240101,1,26,91,20
,20240101,1,27,74,20
,20240101,1,28,7,20
,20240101,1,29,98,20
,20240101,1,30,67,20
,20240101,1,31,30,20
,20240101,1,32,96,20
,20240101,1,33,5,20
,20240101,1,34,7,20
,20240101,1,35,53,20
,20240101,1,36,75,20
,20240101,1,37,22,20
,20240101,1,38,52,20
,20240101,1,39,70,20
,20240101,1,40,80,20
,20240101,1,41,89,20
,20240101,1,42,99,20
,20240101,1,43,5,20
,20240101,1,44,11,20
,20240101,1,45,72,20
,20240101,1,46,51,20
,20240101,1,47,71,20
,20240101,1,48,22,20
,20240101,1,49,51,20
,20240101,1,50,31,20
,20240101,2,1,71,20
,20240101,2,2,3,20
,20240101,2,3,30,20
,20240101,2,4,66,20
,20240101,2,5,50,20
,20240101,2,6,25,20
,20240101,2,7,5,20
,20240101,2,8,79,20
,20240101,2,9,30,20
,20240101,2,10,37,20
,20240101,2,11,76,20
,20240101,2,12,52,20
,20240101,2,13,98,20
,20240101,2,14,15,20
,20240101,2,15,8,20
,20240101,2,16,56,20
,20240101,2,17,93,20
,20240101,2,18,62,20
,20240101,2,19,81,20
,20240101,2,20,0,20
,20240101,2,21,68,20
,20240101,2,22,43,20
,20240101,2,23,53,20
,20240101,2,24,73,20
,20240101,2,25,49,20
,20240101,2,26,3,20
,20240101,2,27,3,20
,20240101,2,28,65,20
,20240101,2,29,78,20
,20240101,2,30,22,20
,20240101,2,31,31,20
,20240101,2,32,57,20
,20240101,2,33,27,20
,20240101,2,34,5,20
,20240101,2,35,12,20
,20240101,2,36,44,20
,20240101,2,37,80,20
,20240101,2,38,34,20
,20240101,2,39,44,20
,20240101,2,40,81,20
,20240101,2,41,15,20
,20240101,2,42,14,20
,20240101,2,43,97,20
,20240101,2,44,23,20
,20240101,2,45,15,20
,20240101,2,46,1,20
,20240101,2,47,10,20
,20240101,2,48,47,20
,20240101,2,49,91,20
,20240101,2,50,71,20
,20240101,3,1,61,20
,20240101,3,2,65,20
,20240101,3,3,71,20
,20240101,3,4,21,20
,20240101,3,5,87,20
,20240101,3,6,34,20
,20240101,3,7,26,20
,20240101,3,8,95,20
,20240101,3,9,82,20
,20240101,3,10,21,20
,20240101,3,11,0,20
,20240101,3,12,59,20
,20240101,3,13,27,20
,20240101,3,14,25,20
,20240101,3,15,33,20
,20240101,3,16,77,20
,20240101,3,17,60,20
,20240101,3,18,91,20
,20240101,3,19,22,20
,20240101,3,20,58,20
,20240101,3,21,70,20
,20240101,3,22,22,20
,20240101,3,23,68,20
,20240101,3,24,0,20
,20240101,3,25,27,20
,20240101,3,26,81,20
,20240101,3,27,67,20
,20240101,3,28,98,20
,20240101,3,29,8,20
,20240101,3,30,3,20
,20240101,3,31,79,20
,20240101,3,32,48,20
,20240101,3,33,18,20
,20240101,3,34,40,20
,20240101,3,35,8,20
,20240101,3,36,31,20
,20240101,3,37,15,20
,20240101,3,38,85,20
,20240101,3,39,85,20
,20240101,3,40,40,20
,20240101,3,41,89,20
,20240101,3,42,45,20
,20240101,3,43,77,20
,20240101,3,44,94,20
,20240101,3,45,41,20
,20240101,3,46,87,20
,20240101,3,47,19,20
,20240101,3,48,37,20
,20240101,3,49,85,20
,20240101,3,50,47,20
,20240101,4,1,78,20
,20240101,4,2,84,20
,20240101,4,3,12,20
,20240101,4,4,32,20
,20240101,4,5,13,20
,20240101,4,6,8,20
,20240101,4,7,70,20
,20240101,4,8,95,20
,20240101,4,9,57,20
,20240101,4,10,84,20
,20240101,4,11,55,20
,20240101,4,12,89,20
,20240101,4,13,68,20
,20240101,4,14,67,20
,20240101,4,15,64,20
,20240101,4,16,52,20
,20240101,4,17,34,20
,20240101,4,18,68,20
,20240101,4,19,90,20
,20240101,4,20,51,20
,20240101,4,21,29,20
,20240101,4,22,89,20
,20240101,4,23,20,20
,20240101,4,24,11,20
,20240101,4,25,65,20
,20240101,4,26,38,20
,20240101,4,27,79,20
,20240101,4,28,94,20
,20240101,4,29,47,20
,20240101,4,30,39,20
,20240101,4,31,8,20
,20240101,4,32,49,20
,20240101,4,33,95,20
,20240101,4,34,54,20
,20240101,4,35,11,20
,20240101,4,36,65,20
,20240101,4,37,82,20
,20240101,4,38,9,20
,20240101,4,39,45,20
,20240101,4,40,10,20
,20240101,4,41,7,20
,20240101,4,42,1,20
,20240101,4,43,94,20
,20240101,4,44,26,20
,20240101,4,45,49,20
,20240101,4,46,82,20
,20240101,4,47,63,20
,20240101,4,48,89,20
,20240101,4,49,3,20
,20240101,4,50,64,20
