date_key,date,year,month,day,is_weekend,is_holiday,festival_name
20240101,2024-01-01,2024,1,1,False,False,
20240102,2024-01-02,2024,1,2,False,False,
20240103,2024-01-03,2024,1,3,False,False,
20240104,2024-01-04,2024,1,4,False,False,
20240105,2024-01-05,2024,1,5,False,False,
20240106,2024-01-06,2024,1,6,True,False,
20240107,2024-01-07,2024,1,7,True,False,
20240108,2024-01-08,2024,1,8,False,False,
20240109,2024-01-09,2024,1,9,False,False,
20240110,2024-01-10,2024,1,10,False,False,
20240111,2024-01-11,2024,1,11,False,False,
20240112,2024-01-12,2024,1,12,False,False,
20240113,2024-01-13,2024,1,13,True,False,
20240114,2024-01-14,2024,1,14,True,False,
20240115,2024-01-15,2024,1,15,False,False,
20240116,2024-01-16,2024,1,16,False,False,
20240117,2024-01-17,2024,1,17,False,False,
20240118,2024-01-18,2024,1,18,False,False,
20240119,2024-01-19,2024,1,19,False,False,
20240120,2024-01-20,2024,1,20,True,False,
20240121,2024-01-21,2024,1,21,True,False,
20240122,2024-01-22,2024,1,22,False,False,
20240123,2024-01-23,2024,1,23,False,False,
20240124,2024-01-24,2024,1,24,False,False,
20240125,2024-01-25,2024,1,25,False,False,
20240126,2024-01-26,2024,1,26,False,False,
20240127,2024-01-27,2024,1,27,True,False,
20240128,2024-01-28,2024,1,28,True,False,
20240129,2024-01-29,2024,1,29,False,False,
20240130,2024-01-30,2024,1,30,False,False,
20240131,2024-01-31,2024,1,31,False,False,
20240201,2024-02-01,2024,2,1,False,False,
20240202,2024-02-02,2024,2,2,False,False,
20240203,2024-02-03,2024,2,3,True,False,
20240204,2024-02-04,2024,2,4,True,False,
20240205,2024-02-05,2024,2,5,False,False,
20240206,2024-02-06,2024,2,6,False,False,
20240207,2024-02-07,2024,2,7,False,False,
20240208,2024-02-08,2024,2,8,False,False,
20240209,2024-02-09,2024,2,9,False,False,
20240210,2024-02-10,2024,2,10,True,False,
20240211,2024-02-11,2024,2,11,True,False,
20240212,2024-02-12,2024,2,12,False,False,
20240213,2024-02-13,2024,2,13,False,False,
20240214,2024-02-14,2024,2,14,False,False,
20240215,2024-02-15,2024,2,15,False,False,
20240216,2024-02-16,2024,2,16,False,False,
20240217,2024-02-17,2024,2,17,True,False,
20240218,2024-02-18,2024,2,18,True,False,
20240219,2024-02-19,2024,2,19,False,False,
20240220,2024-02-20,2024,2,20,False,False,
20240221,2024-02-21,2024,2,21,False,False,
20240222,2024-02-22,2024,2,22,False,False,
20240223,2024-02-23,2024,2,23,False,False,
20240224,2024-02-24,2024,2,24,True,False,
20240225,2024-02-25,2024,2,25,True,False,
20240226,2024-02-26,2024,2,26,False,False,
20240227,2024-02-27,2024,2,27,False,False,
20240228,2024-02-28,2024,2,28,False,False,
20240229,2024-02-29,2024,2,29,False,False,
